"ASIN";"SKU";"Title";"Labels";"CostPeriodStartDate";"Cost";"DomesticShippingCost";"RestofworldShippingCost";"ShippingProfile";"Value_of_unsellable_returns";"VAT";"VAT_CATEGORY";"Hide";"Marketplace";"BatchQuantity"
"B0GVYF16BT";"250TH_KEYCHAIN_DAIBANG";"Musemory America 250 Keychain 1776–2026 – Patriotic USA Keychain Set, 4th of July Independence Day Gift, Eagle Liberty Bell Flag Acrylic Keyring, American Anniversary Souvenir";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GY4JSS94";"FATHERDAY_BESTDADEVERHAT";"Best Dad Ever American Flag Hat";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0DJR4343W";"PU-2DN9-R32Y";"Scratch Off Map of United States, All 63 US National Parks Scratch Off Poster, Scratch Off World Map, Travel Scratch Off Map, Us Map for Travel Tracking, Valentine Gift, Valentine Gifts For Her, Valentine Gift For Men";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GFKLJQFJ";"VLT_ILOVEYOUBECAUSE";"Musemory I Love You Because Jar, Father Day Gifts, 60 Blank Heart Notes, Love Notes, Birthday Gifts for Mom Women Wife Grandma from Son, Romantic Personalized Gift for Wife, Husband";"#FBA";"";"2.5";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0H1LN6K74";"250TH_DEVOM_NEVERDORGOTTEN";"Patriotic Military Memorial Decor, Veteran Tribute Tabletop Sign, American Flag Soldier Desk Decor, Memorial Day, Veterans Day Gift, Patriotic Tabletop Decor, American Eagle Freedom Sign, Veteran Memorial Plaque";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FS68WLRJ";"POSITIVEJAR_BEE";"Musemory Positive Bee Jar, 60 Emotional Support Bee Gifts, Affirmation Cards For Women, Friendship Gift, Quotes Jar, Best Friend Gift, Positive Bee Decor, Positive Bee Decor";"#FBA";"";"1.5";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0G38DB4Z4";"VISORCLIP_CLEAR";"Musemory Frame with Car Visor Clip, Picture acrylic Frame for Car, Mommy and Me Picture Frame, Magnetic Car Visor Photo Holder, Gifts for Mom Birthday, Visor Photo Frame";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0CSJZLTP5";"LY-IU2S-D65B";"50 Positive Messages in Bottle,Anxiety Relief Items, Stress Relief, Self Care Kit for Mediation,Positive Affirmation Gifts for Women, Self Care Kit for Mediation, Unique Health and Wellness Gifts";"#FBA";"";"1";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0H2LZ5LCX";"250TH_GNOME_USA250";"America 250 Patriotic Gnome Decor, USA 250th Anniversary Decoration 1776-2026, One Nation United Wooden Tabletop Sign, Independence Day Shelf Decor, Patriotic Home Office Mantel Display";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GV365N6Z";"STK_250_ANNI_2PCS";"Set of 2, 4-8 Inches, USA 250th Anniversary Car Decal, Patriotic Eagle 1776-2026 Sticker, American Flag Auto Decals, Waterproof Vinyl for Cars, Windows, Trucks";"#FBA";"";"1";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0H1LHR51Z";"FATHERDAY_DADGIFTFROMDAUGHTER";"Dad Gift from Daughter, Best Dad Ever Tabletop Sign, Father Daughter Acrylic Plaque with Heartfelt Message, Fathers Day Gift for Dad, Birthday Christmas Desk Decor for Home Office";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0F2T9B1Y2";"CS-S8XU-RCDA";"2 PCS Resist Vinyl Sticker Decal, Statue of Liberty New York Vinyl Sticker Decal – 5'' Laptop, Car, Bumper, Travel Luggage Sticker, Resist Sticker";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FDWNP259";"SCHOOLBOARD_02";"First Day Last Day of School Board Sign for Kids, First Day of Daycare Sign, Back To School Board Sign, Forst Day of School Sign, First Day of School Board - Back to School Kids Supplies Preschool";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0DT9QW3FH";"3N-FE02-6LBQ";"90 Love Notes Jar, Romantic gifts for Her, Girlfriend Wife Husband, Positive Affirmation Cards, Valentines day Gifts for Women, Love for Him";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0DDCKCVPM";"S7-9W42-2X1Q";"Grim Reaper Mirror Peeker Sticker 2 Pcs Funny Halloween Car Decals, Spooky Gothic Rearview Mirror Bumper Stickers, Anti-Fog, Waterproof Film, (Grim Reaper Mirror Peeker, 2.5x3.2in)";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0F18ZH23W";"BIBLEJAR_DAD";"Bible Verse Jar for Dad, Christian Gift for Dad, Inspirational Scriptures for Dad, Fathers Day Gift, Father Day Gifts from Son, Daughter";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FBM5TDLH";"REWARDJAR_STAR";"Musemory Magnetic Reward Jar, 9"" DIY Name 40+ Tokens Star Face Magnetic Reward Jar Gifts for Classroom, Classroom Management Tool, Reward Jars for Kids Magnetic, Back to School Gift for Kids";"#FBA";"";"3";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0H1LJVKCY";"250TH_DEVOM_LANDOFTHEFREE";"Patriotic Eagle Table Decor, Fourth of July Decorations, American Flag Desk Sign, Veteran Memorial Gift, Patriotic Tabletop Decor, American Eagle Freedom Sign, Veteran Memorial Plaque";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GVZ1733Q";"NURSEBADGEREEL_CUFFEM";"Funny Nurse Badge Reel Retractable ID Holder – Cute Duck Nurse Badge Clip for RN CNA LPN, Medical ID Badge Holder for Scrubs, Gift Idea (Cuff)";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0DT9QCSQN";"CP-E4EK-0HRT";"90 Date Ideas In A Jar, Date Night Ideas, Gifts for Women, Date Ideas, Birthday Gifts for Women, Date Jar Wedding, Date Night Game for Him or Her, Gift for Couples, Positive Affirmation Cards";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0F192CQ83";"HEARTJAR_DAD";"90 Messages in a Jar for Dad with NFC Keychain, Fathers Day Dads Gift, for Dad Husband from Daughter - Son - Wife, Dad Gifts from Daughter, Positive Affirmation Cards";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FX7MYQCH";"CARVISOR_DRIVERSAFRDAD";"Musemory Frame with Car Visor Clip, Picture acrylic Frame for Car, Mommy and Me Picture Frame, Best Ever Gifts, Gifts for Mom Birthday (Driver Safe Dad)";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GSDQ2CQ6";"MOTHERDAY_ILOVEYOUMOM";"Reasons Why I Love You Mom Jar, DIY Love Notes in a Jar with Envelopes, What I Love About Mom, Mothers Day Gifts for Mom from Daughter Son, Mother Birthday Gifts";"#FBA";"";"2.5";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FTSDK542";"CROSSCAR_PINKBUTTERFLY";"Christian Floral Cross Car Hanging Ornament – “I Am With You Always” Matthew 28:20 – Rearview Mirror Faith Gift for Women, Butterfly Rose Design, Scripture Card & Gift Box, Drive Safe Blessing Décor";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
